idn,title,auftraggeber-per-idn,auftraggeber-per-name,auftraggeber-inst-idn,auftraggeber-inst-name
1236180682,Musik-Akademie der Stadt Basel,,,004239679,Schola Cantorum Basiliensis
1236180704,Musik-Akademie der Stadt Basel,,,007040725,Musik-Akademie Basel
1236180704,Musik-Akademie der Stadt Basel,,,007320574,Musik-Akademie
1236180704,Musik-Akademie der Stadt Basel,,,004239679,Schola Cantorum Basiliensis
1236180739,Entwurf für den Bucheinband von Schweizer Bücherkatalog 1959/60 um eine alte Ausgabe gelegt,,,004794966,Schweizerisches Vereinssortiment
1236180771,Zeitungsanzeige Musik-Akademie der Stadt Basel,,,007040725,Musik-Akademie Basel
1236180771,Zeitungsanzeige Musik-Akademie der Stadt Basel,,,004382684,Musik-Akademie Basel
1236181107,Klischeevorlage und Klischeeabzug für Generalprogramm Freunde Alter Musik 1958,,,050873059,Freunde Alter Musik in Basel
123618114X,Extrakonzert,,,050873059,Freunde Alter Musik in Basel
1236181190,Korrekturfahne für Programmheft Konzert Heinrich Schütz,,,050873059,Freunde Alter Musik in Basel
1236181220,Das @Wintersemester der Musik-Akademie der Stadt Basel,,,007040725,Musik-Akademie Basel
1236181220,Das @Wintersemester der Musik-Akademie der Stadt Basel,,,004239679,Schola Cantorum Basiliensis
1236181220,Das @Wintersemester der Musik-Akademie der Stadt Basel,,,004382684,Musik-Akademie Basel
1236181247,Probedrucke von Orientierungstafeln für Musik-Akademie Basel,,,982399715,Suter & Suter Architekten
1236181247,Probedrucke von Orientierungstafeln für Musik-Akademie Basel,,,007040725,Musik-Akademie Basel
1236181433,"Klebeentwurf für fünf Ornamente von Schönste, liebe mich",,,007482450,Verlag Lambert Schneider
1236181476,"Klebeentwurf für Ornamente von Schönste, liebe mich",,,007482450,Verlag Lambert Schneider
1236181484,"Klebeentwurf für den Buchtitel des Titelblattes von Schönste, liebe mich",,,007482450,Verlag Lambert Schneider
1236181573,"Klebeentwurf für das Ornament des Titelblattes von Schönste, liebe mich",,,007482450,Verlag Lambert Schneider
1236181646,"Klebeentwurf für den Buchrücken von Schönste, liebe mich",,,007482450,Verlag Lambert Schneider
1236181735,Probedruck für Umschlag von Jahresbericht der Freunde alter Musik 1957,,,050873059,Freunde Alter Musik in Basel
1236181808,Korrekturfahne für Programmheft Konzert Quartetto polifonico,,,050873059,Freunde Alter Musik in Basel
1236181859,Quittungsformular für Musikschule und Konservatorium Basel,,,007040725,Musik-Akademie Basel
1236181859,Quittungsformular für Musikschule und Konservatorium Basel,,,007320574,Musik-Akademie
1236181859,Quittungsformular für Musikschule und Konservatorium Basel,,,004382684,Musik-Akademie Basel
1236181883,Entwurf von Briefbogen mit Corporate Design für Freunde Alter Musik Basel,,,050873059,Freunde Alter Musik in Basel
1236181905,Belegexemplar und Klischee von Firmenzeichen für Georg-Rentsch-Söhne,,,050699571,Georg-Rentsch-Söhne
1236182057,"Druckklischee für den Titel von Schönste, liebe mich",,,007482450,Verlag Lambert Schneider
1236182677,Entwicklungsstufen von Geschäftsdrucksachen mit Corporate Design für Freunde Alter Musik Basel,,,050873059,Freunde Alter Musik in Basel
1236182707,Einbanddecke für Das Papier - Der Druck,,,1073074552,Otto-Blersch-Verlag
1236182731,Einbanddecke für Das Papier - Der Druck,,,1073074552,Otto-Blersch-Verlag
1236182758,Einbanddecke für Das Papier - Der Druck,,,1073074552,Otto-Blersch-Verlag
