idn,title,ts-idn,ts
1236171284,Zwei montierte Bögen mit Text und Illustrationen aus Das Alphabet des Damianus Moyllus,943626668,Probedruck
1236171322,Probedrucke für Illustrationen von Das Alphabet des Damianus Moyllus,04123412X,Illustration
1236171322,Probedrucke für Illustrationen von Das Alphabet des Damianus Moyllus,943626668,Probedruck
1236171357,Handkolorierte Probedrucke für Illustrationen von Das Alphabet des Damianus Moyllus,04123412X,Illustration
1236171357,Handkolorierte Probedrucke für Illustrationen von Das Alphabet des Damianus Moyllus,943626668,Probedruck
1236171357,Handkolorierte Probedrucke für Illustrationen von Das Alphabet des Damianus Moyllus,04002511X,Aquarell
1236171357,Handkolorierte Probedrucke für Illustrationen von Das Alphabet des Damianus Moyllus,042464935,Kolorierung
1236171373,"Probedrucke für Illustrationen von Das Alphabet des Damianus Moyllus, teilweise korrigiert",04123412X,Illustration
1236171373,"Probedrucke für Illustrationen von Das Alphabet des Damianus Moyllus, teilweise korrigiert",943626668,Probedruck
1236171381,Druckklischees für die Buchstaben-Illustrationen von Das Alphabet des Damianus Moyllus,941715787,Klischee
1236171381,Druckklischees für die Buchstaben-Illustrationen von Das Alphabet des Damianus Moyllus,043282350,Druckstock
1236171446,"Entwurf mit konstruierter Illustration ""M"" für den Umschlag von Das Alphabet des Damianus Moyllus",04146706X,Broschur
1236171446,"Entwurf mit konstruierter Illustration ""M"" für den Umschlag von Das Alphabet des Damianus Moyllus",041212088,Entwurf
1236171462,Broschur mit montierten Probedrucken für Das Alphabet des Damianus Moyllus,04146706X,Broschur
1236171462,Broschur mit montierten Probedrucken für Das Alphabet des Damianus Moyllus,041212088,Entwurf
1236171462,Broschur mit montierten Probedrucken für Das Alphabet des Damianus Moyllus,943626668,Probedruck
1236171470,"Broschur mit konstruierter Illustration ""A"" für den Umschlag von Das Alphabet des Damianus Moyllus",04146706X,Broschur
1236171470,"Broschur mit konstruierter Illustration ""A"" für den Umschlag von Das Alphabet des Damianus Moyllus",041212088,Entwurf
1236171497,Notizen auf Ausschnitten aus dem Alfabeto für die Gestaltung von Das Alphabet des Damianus Moyllus,042067774,Notiz
1236171497,Notizen auf Ausschnitten aus dem Alfabeto für die Gestaltung von Das Alphabet des Damianus Moyllus,040731685,Kalligraphie
1236171527,Broschur für Das Alphabet des Damianus Moyllus,04146706X,Broschur
1236171578,Korrigierter Probedruck von Das Alphabet des Damianus Moyllus,965476197,Heft
1236171578,Korrigierter Probedruck von Das Alphabet des Damianus Moyllus,041212088,Entwurf
1236171578,Korrigierter Probedruck von Das Alphabet des Damianus Moyllus,943626668,Probedruck
1236171586,Mit den besten Glückwünschen zum neuen Jahre,041715640,Neujahrswunsch
1236171594,Mappe Jan Tschichold - Zehnbambushalle II. Bd. mit Vorarbeiten für Die Bildersammlung der Zehnbambushalle,042067774,Notiz
1236171594,Mappe Jan Tschichold - Zehnbambushalle II. Bd. mit Vorarbeiten für Die Bildersammlung der Zehnbambushalle,943626668,Probedruck
1236171594,Mappe Jan Tschichold - Zehnbambushalle II. Bd. mit Vorarbeiten für Die Bildersammlung der Zehnbambushalle,041865197,Typoskript
1236171594,Mappe Jan Tschichold - Zehnbambushalle II. Bd. mit Vorarbeiten für Die Bildersammlung der Zehnbambushalle,041745116,Fotokopie
1236171624,Arbeitstransparent und Klischeevorlage für eine Illustration mit Fotogramm Pelikan Tinte,04123412X,Illustration
1236171624,Arbeitstransparent und Klischeevorlage für eine Illustration mit Fotogramm Pelikan Tinte,04236101X,Fotogramm
1236171624,Arbeitstransparent und Klischeevorlage für eine Illustration mit Fotogramm Pelikan Tinte,041157494,Reproduktion
1236171624,Arbeitstransparent und Klischeevorlage für eine Illustration mit Fotogramm Pelikan Tinte,041429222,Arbeitstransparent
1236171640,Negativ und Abzug von Selbstportrait El Lissitzky,941852741,Negativ
1236171640,Negativ und Abzug von Selbstportrait El Lissitzky,04141215X,Abzug
1236171659,"Notiz, Reproduktion und Probedruck für Fotogramm Pelikan Tinte",04236101X,Fotogramm
1236171659,"Notiz, Reproduktion und Probedruck für Fotogramm Pelikan Tinte",041157494,Reproduktion
1236171659,"Notiz, Reproduktion und Probedruck für Fotogramm Pelikan Tinte",943626668,Probedruck
1236171659,"Notiz, Reproduktion und Probedruck für Fotogramm Pelikan Tinte",042067774,Notiz
1236171675,Werke und Aufsätze über El Lissitzky (1890-1941),040131343,Druckwerk
1236171675,Werke und Aufsätze über El Lissitzky (1890-1941),040085708,Buch
1236171675,Werke und Aufsätze über El Lissitzky (1890-1941),041212088,Entwurf
1236171675,Werke und Aufsätze über El Lissitzky (1890-1941),946122350,Fahne
1236171691,Probedruck für den Schuber von Die Bildersammlung der Zehnbambushalle und Faksimilie und Nachdrucke eines chinesischen Druckes,1015543863,Schuber
1236171691,Probedruck für den Schuber von Die Bildersammlung der Zehnbambushalle und Faksimilie und Nachdrucke eines chinesischen Druckes,943626668,Probedruck
1236171691,Probedruck für den Schuber von Die Bildersammlung der Zehnbambushalle und Faksimilie und Nachdrucke eines chinesischen Druckes,041536959,Farbdruck
1236171691,Probedruck für den Schuber von Die Bildersammlung der Zehnbambushalle und Faksimilie und Nachdrucke eines chinesischen Druckes,041710029,Nachdruck
1236171721,Entwurf für den Schuber von Die Bildersammlung der Zehnbambushalle,1015543863,Schuber
